from,to,cost
0,2,828.08
0,8,63.76
0,11,1289.65
0,15,1477.75
0,21,1808.44
0,26,1806.46
0,30,150.51
0,33,1002.08
0,34,1001.54
0,39,1557.28
0,40,375.95
0,44,512.25
0,53,1933.2
0,58,1478.68
1,27,1447.49
1,52,480.81
1,182,1115.15
1,924,1891.59
1,934,1913.36
1,954,1862.54
1,982,1886.81
2,0,828.08
2,8,888.28
2,11,467.76
2,30,978.59
2,33,1829.15
2,34,1827.82
2,35,1474.91
2,39,733.69
2,40,1203.6
2,44,317.26
2,53,1108.72
3,5,545.57
3,7,1186.59
3,9,541.02
3,16,1192.26
3,18,591.59
3,20,1724.08
3,29,1350.59
3,31,1875.46
3,36,1352.26
3,38,1875.48
3,45,1729.31
3,46,25.91
3,55,581.88
3,830,595.82
3,832,1698.19
3,845,1407.59
3,855,861.78
3,857,1060.88
4,10,756.36
4,13,1847.57
4,23,868.92
4,32,21.73
4,37,1855.48
4,48,1986.38
5,3,545.57
5,7,1729.65
5,9,27.8
5,16,1734.56
5,18,1121.27
5,29,819.73
5,31,1343.19
5,36,818.88
5,38,1341.51
5,46,550.98
5,55,1114.39
5,830,1085.87
5,845,1317.31
5,855,1305.14
5,857,1071.76
6,14,861.95
6,15,1880.74
6,17,1743.75
6,21,1547.45
6,26,1550.74
6,28,25.87
6,41,864.18
6,49,1743.34
6,54,857.56
6,57,857.19
6,58,1878.05
6,83,1406.87
6,87,1164.35
6,99,297.69
6,100,622.23
6,122,220.75
7,3,1186.59
7,5,1729.65
7,9,1722.48
7,16,20.36
7,18,622.55
7,20,554.93
7,35,1210.22
7,39,1958.53
7,45,555.29
7,46,1179.12
7,53,1584.67
7,55,624.71
7,830,727.82
7,832,1278.76
7,836,1648.56
7,855,741.97
7,857,1846.37
8,0,63.76
8,2,888.28
8,11,1348.08
8,15,1415.96
8,21,1747.16
8,26,1744.96
8,30,93.35
8,33,940.99
8,34,940.05
8,39,1615.72
8,40,315.39
8,44,571.64
8,53,1991.62
8,58,1417.15
9,3,541.02
9,5,27.8
9,7,1722.48
9,16,1727.08
9,18,1111.69
9,29,817.12
9,31,1341.45
9,36,817.03
9,38,1340.25
9,46,545.16
9,55,1105.25
9,830,1072.4
9,845,1344.42
9,855,1287.91
9,857,1096.65
10,4,756.36
10,13,1094.07
10,23,115.9
10,32,752.16
10,37,1103.18
10,43,1257.79
10,47,1769.41
10,48,1232.97
11,0,1289.65
11,2,467.76
11,8,1348.08
11,20,1670.79
11,30,1439.85
11,35,1015.03
11,39,267.65
11,40,1663.11
11,44,777.72
11,45,1672.43
11,53,643.57
12,19,1632.2
12,24,793.67
12,27,1151.66
12,56,463.69
13,4,1847.57
13,10,1094.07
13,22,1173.82
13,23,979.53
13,25,1863.89
13,32,1841.78
13,37,25.19
13,42,1454.05
13,43,165.35
13,47,676.76
13,48,138.9
13,50,1871.59
13,51,1387.87
14,6,861.95
14,15,1024.07
14,21,689.61
14,26,694.94
14,28,863.88
14,33,1492.75
14,34,1494.74
14,41,29.92
14,54,1717.71
14,57,1718.27
14,58,1019.91
14,83,1631.63
14,87,1442.68
14,99,1039.39
14,100,1107.76
14,122,1060.35
15,0,1477.75
15,6,1880.74
15,8,1415.96
15,14,1024.07
15,21,334.48
15,26,330.02
15,28,1884.55
15,30,1328.25
15,33,477.85
15,34,476.55
15,40,1102.35
15,41,1018.33
15,44,1985.71
15,58,23.28
16,3,1192.26
16,5,1734.56
16,7,20.36
16,9,1727.08
16,18,624.23
16,20,555.91
16,35,1211.69
16,39,1960.18
16,45,555.33
16,46,1184.38
16,53,1586.8
16,55,627.04
16,830,725.3
16,832,1259.49
16,836,1628.5
16,855,731.81
16,857,1861.63
17,6,1743.75
17,22,1111.35
17,25,375.57
17,28,1740.86
17,42,810.51
17,47,1648.7
17,49,24.37
17,50,375.54
17,51,871.32
17,54,887.03
17,57,886.58
17,99,1603.92
17,100,1761.37
17,122,1547.66
18,3,591.59
18,5,1121.27
18,7,622.55
18,9,1111.69
18,16,624.23
18,20,1176.12
18,29,1888.01
18,35,1829.3
18,36,1893.01
18,45,1177.48
18,46,579.1
18,55,20.13
18,830,172.84
18,832,1269.91
18,836,1700.51
18,845,1843.9
18,855,419.47
18,857,1468.78
19,12,1632.2
19,24,838.53
19,29,1211.48
19,31,686.52
19,36,1210.59
19,38,687.26
20,3,1724.08
20,7,554.93
20,11,1670.79
20,16,555.91
20,18,1176.12
20,35,655.88
20,39,1404.43
20,45,25.58
20,46,1718.95
20,53,1031.75
20,55,1177.22
20,830,1280.91
20,832,1561.61
20,836,1841.15
20,855,1256.72
21,0,1808.44
21,6,1547.45
21,8,1747.16
21,14,689.61
21,15,334.48
21,26,23.14
21,28,1550.88
21,30,1658.45
21,33,806.42
21,34,807.18
21,40,1432.56
21,41,684.18
21,58,330.67
21,87,1988.35
21,99,1726.64
21,100,1755.07
21,122,1749.53
22,13,1173.82
22,17,1111.35
22,25,735.96
22,37,1173.15
22,42,300.94
22,43,1029.36
22,47,540.78
22,48,1042.6
22,49,1111.86
22,50,736.47
22,51,241.15
22,54,1997.9
22,57,1997.86
23,4,868.92
23,10,115.9
23,13,979.53
23,32,863.96
23,37,988.27
23,43,1142.89
23,47,1655.43
23,48,1118.43
24,12,793.67
24,19,838.53
24,27,1944.91
24,31,1524.07
24,38,1523.67
24,56,1256.68
25,13,1863.89
25,17,375.57
25,22,735.96
25,37,1867.46
25,42,435.31
25,43,1734.7
25,47,1273.23
25,48,1742.36
25,49,377.21
25,50,27.38
25,51,495.75
25,54,1262.56
25,57,1262.15
25,99,1976.23
25,122,1922.85
26,0,1806.46
26,6,1550.74
26,8,1744.96
26,14,694.94
26,15,330.02
26,21,23.14
26,28,1554.54
26,30,1656.64
26,33,804.81
26,34,804.93
26,40,1430.71
26,41,688.56
26,58,327.81
26,99,1733.19
26,100,1766.14
26,122,1754.03
27,1,1447.49
27,12,1151.66
27,24,1944.91
27,52,972.16
27,56,688.23
28,6,25.87
28,14,863.88
28,15,1884.55
28,17,1740.86
